market,archetype,N,implied_pct,actual_pct,error_pp,proxy_roi_110,flag
make_cut,ALL,13143,67.12182113587272,65.00798904359735,-2.1138320922753806,-3.1492472291483464,
make_cut,STYLE_01,827,59.06818284189546,54.89721886336155,-4.170963978533903,-7.061270176023685,*
make_cut,STYLE_02,523,58.66028630463168,53.91969407265774,-4.740592231973939,-8.081433846666433,*
make_cut,STYLE_03,9605,68.39372714797193,66.49661634565331,-1.8971108023186245,-2.773808185967358,
make_cut,STYLE_04,2188,66.60494926185324,64.94515539305301,-1.659793868800219,-2.4919977977535,
top_20,ALL,29392,19.752119053135797,25.728089275993465,5.9759702228576685,30.25483092108509,
top_20,STYLE_01,3404,13.982121112485519,14.659224441833137,0.6771033293476197,4.8426367065508495,
top_20,STYLE_02,1483,16.48657943215278,15.23937963587323,-1.2471997962795522,-7.564939722106417,
top_20,STYLE_03,19340,21.33036185880691,29.34332988624612,8.012968027439213,37.566020119489,*
top_20,STYLE_04,5165,18.582835875248506,22.49757986447241,3.9147439892239038,21.06645086629735,*
top_10,ALL,28903,10.710722960149154,12.925993841469744,2.2152708813205897,20.68273906031214,
top_10,STYLE_01,3302,6.8765961796394075,7.662023016353725,0.7854268367143175,11.421738549078265,
top_10,STYLE_02,1434,7.75622162453839,6.624825662482567,-1.131395962055823,-14.586947315641691,
top_10,STYLE_03,19148,11.798296735576116,14.795278880300813,2.996982144724697,25.4018203804598,
top_10,STYLE_04,5019,9.9281325821124,11.05797967722654,1.129847095114138,11.380257926347527,
top_5,ALL,29493,5.569226213761103,6.584613298070728,1.0153870843096255,18.232103443754667,
top_5,STYLE_01,3402,3.658843596407831,3.880070546737213,0.22122695032938192,6.046362586981785,
top_5,STYLE_02,1484,4.383642497858838,4.110512129380054,-0.27313036847878347,-6.230671607280755,
top_5,STYLE_03,19428,6.11596666162065,7.664196005764875,1.5482293441442252,25.3145484565798,
top_5,STYLE_04,5179,5.1128551918687455,5.020274184205445,-0.09258100766330046,-1.8107496533548835,
