market,archetype,early_N,early_resid,late_N,late_resid,stability
make_cut,STYLE_04,3874,3.2727549536117846,1080,4.4888263888888895,STABLE
top_20,STYLE_01,2020,5.9472465065406395,1200,4.498958620756378,STABLE
top_20,STYLE_02,778,2.548886187511177,623,5.015662114105913,STABLE
top_20,STYLE_03,16052,11.589342494539718,2756,5.823607608973271,STABLE
top_20,STYLE_04,3854,7.580294189770444,1077,7.498665972319296,STABLE
top_10,STYLE_01,2020,3.4963572795107303,1200,3.129770341224236,STABLE
top_10,STYLE_03,16052,5.491135177415185,2756,2.5799541550896326,STABLE
top_10,STYLE_04,3854,3.5242543590488014,1077,3.2425227675034445,STABLE
make_cut,STYLE_03,16094,3.049273312758716,2778,2.00226241900648,STABLE
top_5,STYLE_03,16052,2.9482039229268464,2756,1.6277118695160475,STABLE
