label,N,pA,pB,indep,joint,gap,lift,family,subgroup
D_DISCOVERY,87480,0.5688157293095565,0.334453589391861,0.19024246237013034,0.334453589391861,0.14421112702173064,1.7580385852090032,D,all
D_VALIDATION,43686,0.5667719635581193,0.32555051961726866,0.1845129072408454,0.32555051961726866,0.14103761237642326,1.76437802907916,D,all
D_OOS,43704,0.5677969979864543,0.3269037159070108,0.18561494852261745,0.3269037159070108,0.14128876738439333,1.761192826919202,D,all
A_DISCOVERY,349920,0.5979338134430727,0.5396976451760402,0.3227034710863561,0.3290380658436214,0.006334594757265277,1.019629769509266,A,all
A_VALIDATION,174744,0.5956885501075859,0.5378553770086527,0.32039428969785333,0.3292473561323994,0.008853066434546086,1.027631785956282,A,all
A_OOS,174816,0.5984463664653121,0.5371476295075965,0.32145404713427683,0.32844819696137656,0.006994149827099727,1.0217578527613875,A,all
A1_adj_DISCOVERY,77760,0.5779706790123457,0.5613425925925926,0.32443955939929126,0.3335776748971193,0.009138115497828059,1.0281658485628187,A,A1_adjacent
A1_adj_VALIDATION,38832,0.5776679027606098,0.5586629583848373,0.32272165952020676,0.33477544293366296,0.012053783413456198,1.0373504010588463,A,A1_adjacent
A1_adj_OOS,38848,0.5784596375617792,0.5598743822075782,0.32386473221192075,0.3319604612850082,0.008095729073087476,1.0249972543098333,A,A1_adjacent
A2_nonadj_DISCOVERY,272160,0.6036375661375661,0.5335133744855967,0.32204871487632547,0.3277410346854791,0.005692319809153634,1.0176753377554686,A,A2_nonadjacent
A2_nonadj_VALIDATION,135912,0.6008373064924363,0.5319103537583142,0.31959158424758444,0.3276679027606098,0.008076318513025371,1.0252707483898222,A,A2_nonadjacent
A2_nonadj_OOS,135968,0.6041568604377501,0.5306542715933161,0.32059841870369904,0.3274446928689103,0.006846274165211275,1.0213546722809592,A,A2_nonadjacent
A3_top5_DISCOVERY,97200,0.6207407407407407,0.5849382716049383,0.36309501600365796,0.3687037037037037,0.005608687700045745,1.0154468870484006,A,A3_top5
A3_top5_VALIDATION,48540,0.6151009476720231,0.5855583024309847,0.36017746674251977,0.36711990111248455,0.006942434369964778,1.0192750380326476,A,A3_top5
A3_top5_OOS,48560,0.6202429983525536,0.5875,0.36439276153212524,0.37084019769357496,0.0064474361614497155,1.0176936449954188,A,A3_top5
A4_HCE_DISCOVERY,46212,0.6461092356963559,0.5560244092443521,0.35925250608538617,0.36572751666233877,0.0064750105769526,1.0180235641151343,A,A4_HC_Elite
A4_HCE_VALIDATION,23707,0.6398110262791581,0.5544775804614671,0.35476086980383575,0.36107478803728854,0.006313918233452787,1.0177976737878223,A,A4_HC_Elite
A4_HCE_OOS,26978,0.643227815256876,0.5613462821558307,0.36107354267366487,0.3663355326562384,0.005261989982573545,1.0145731806977873,A,A4_HC_Elite
A5_LCW_DISCOVERY,119456,0.5884007500669702,0.5372354674524511,0.3161097520116016,0.3230310742030538,0.0069213221914522505,1.0218953137238178,A,A5_LC_Weak
A5_LCW_VALIDATION,62268,0.5767649514999679,0.5239609430204921,0.3022023078890916,0.30987023832466115,0.00766793043556957,1.0253735005835352,A,A5_LC_Weak
A5_LCW_OOS,60269,0.5630257678076623,0.5051021254708059,0.2843855120144827,0.28913703562362075,0.004751523609138053,1.0167080368316936,A,A5_LC_Weak
C_DISCOVERY,699840,0.334453589391861,0.5688157293095565,0.19024246237013034,0.19575760173754,0.0055151393674096605,1.0289900545792956,C,all
C_VALIDATION,349488,0.32555051961726866,0.5667719635581193,0.1845129072408454,0.191311289658014,0.006798382417168597,1.0368450235749342,C,all
C_OOS,349632,0.3269037159070108,0.5677969979864543,0.18561494852261745,0.19244233937397034,0.006827390851352894,1.036782548526909,C,all
