season,threshold,direction,n,wins,losses,win_rate,roi_flat_110,drift_used
2021,0.1,combined,1110,594,463,0.562,0.0694,-0.1
2021,0.1,OVER,893,479,377,0.5596,0.0655,-0.1
2021,0.1,UNDER,217,115,86,0.5721,0.0855,-0.1
2021,0.12,combined,1068,571,447,0.5609,0.0675,-0.1
2021,0.12,OVER,868,464,369,0.557,0.0609,-0.1
2021,0.12,UNDER,200,107,78,0.5784,0.0964,-0.1
2021,0.15,combined,1015,543,425,0.561,0.0676,-0.1
2021,0.15,OVER,837,447,357,0.556,0.059,-0.1
2021,0.15,UNDER,178,96,68,0.5854,0.1083,-0.1
2021,0.2,combined,932,502,388,0.564,0.0734,-0.1
2021,0.2,OVER,781,421,330,0.5606,0.0675,-0.1
2021,0.2,UNDER,151,81,58,0.5827,0.1036,-0.1
2021,0.3,combined,764,407,329,0.553,0.0537,-0.1
2021,0.3,OVER,661,356,285,0.5554,0.0585,-0.1
2021,0.3,UNDER,103,51,44,0.5368,0.0229,-0.1
2021,0.5,combined,476,266,195,0.577,0.0984,-0.1
2021,0.5,OVER,433,247,176,0.5839,0.1121,-0.1
2021,0.5,UNDER,43,19,19,0.5,-0.0402,-0.1
2022,0.1,combined,1063,530,485,0.5222,-0.003,-0.1
2022,0.1,OVER,436,219,190,0.5355,0.0209,-0.1
2022,0.1,UNDER,627,311,295,0.5132,-0.0196,-0.1
2022,0.12,combined,1007,505,457,0.5249,0.0021,-0.1
2022,0.12,OVER,413,212,175,0.5478,0.0429,-0.1
2022,0.12,UNDER,594,293,282,0.5096,-0.0263,-0.1
2022,0.15,combined,928,468,419,0.5276,0.007,-0.1
2022,0.15,OVER,374,196,155,0.5584,0.062,-0.1
2022,0.15,UNDER,554,272,264,0.5075,-0.0302,-0.1
2022,0.2,combined,810,414,359,0.5356,0.0214,-0.1
2022,0.2,OVER,322,171,131,0.5662,0.0759,-0.1
2022,0.2,UNDER,488,243,228,0.5159,-0.0145,-0.1
2022,0.3,combined,577,304,247,0.5517,0.0509,-0.1
2022,0.3,OVER,221,118,89,0.57,0.0827,-0.1
2022,0.3,UNDER,356,186,158,0.5407,0.0312,-0.1
2022,0.5,combined,235,117,102,0.5342,0.0186,-0.1
2022,0.5,OVER,87,41,38,0.519,-0.0084,-0.1
2022,0.5,UNDER,148,76,64,0.5429,0.0344,-0.1
2023,0.1,combined,1090,556,483,0.5351,0.0206,-0.1
2023,0.1,OVER,380,191,169,0.5306,0.0122,-0.1
2023,0.1,UNDER,710,365,314,0.5376,0.0251,-0.1
2023,0.12,combined,1053,531,471,0.5299,0.0111,-0.1
2023,0.12,OVER,363,182,161,0.5306,0.0123,-0.1
2023,0.12,UNDER,690,349,310,0.5296,0.0105,-0.1
2023,0.15,combined,977,496,434,0.5333,0.0173,-0.1
2023,0.15,OVER,341,169,153,0.5248,0.0019,-0.1
2023,0.15,UNDER,636,327,281,0.5378,0.0256,-0.1
2023,0.2,combined,862,439,387,0.5315,0.014,-0.1
2023,0.2,OVER,279,140,126,0.5263,0.0046,-0.1
2023,0.2,UNDER,583,299,261,0.5339,0.0186,-0.1
2023,0.3,combined,661,334,307,0.5211,-0.0051,-0.1
2023,0.3,OVER,196,99,89,0.5266,0.0051,-0.1
2023,0.3,UNDER,465,235,218,0.5188,-0.0094,-0.1
2023,0.5,combined,319,170,140,0.5484,0.0456,-0.1
2023,0.5,OVER,83,42,38,0.525,0.0022,-0.1
2023,0.5,UNDER,236,128,102,0.5565,0.0609,-0.1
2024,0.1,combined,1089,594,460,0.5636,0.0735,-0.1
2024,0.1,OVER,441,238,191,0.5548,0.0575,-0.1
2024,0.1,UNDER,648,356,269,0.5696,0.0843,-0.1
2024,0.12,combined,1032,562,438,0.562,0.0706,-0.1
2024,0.12,OVER,416,223,183,0.5493,0.0474,-0.1
2024,0.12,UNDER,616,339,255,0.5707,0.0863,-0.1
2024,0.15,combined,972,534,410,0.5657,0.0776,-0.1
2024,0.15,OVER,393,214,171,0.5558,0.0599,-0.1
2024,0.15,UNDER,579,320,239,0.5725,0.0897,-0.1
2024,0.2,combined,880,485,372,0.5659,0.0783,-0.1
2024,0.2,OVER,346,190,150,0.5588,0.0657,-0.1
2024,0.2,UNDER,534,295,222,0.5706,0.0865,-0.1
2024,0.3,combined,677,370,294,0.5572,0.0626,-0.1
2024,0.3,OVER,244,132,109,0.5477,0.0451,-0.1
2024,0.3,UNDER,433,238,185,0.5626,0.0724,-0.1
2024,0.5,combined,384,207,172,0.5462,0.0421,-0.1
2024,0.5,OVER,121,69,51,0.575,0.0969,-0.1
2024,0.5,UNDER,263,138,121,0.5328,0.0169,-0.1
