combo,train_N,train_NRFI,train_delta,test_N,test_NRFI,test_delta,same_sign,drift
A+day,119,68.1,7.3,396,70.2,6.0,True,1.3
A+day+ump_under,26,65.4,4.6,88,77.3,13.1,True,8.5
A+day+hitter_park,34,73.5,12.8,131,71.8,7.5,True,5.3
A+strong_wind,20,65.0,4.2,51,74.5,10.3,True,6.1
A+warm+hitter_park,16,81.2,20.5,66,71.2,7.0,True,13.5
B+cold+pitcher_park,7,85.7,30.3,64,68.8,14.5,,
B+day,292,60.6,5.2,1050,57.7,3.4,True,1.8
B+pf94,98,58.2,2.8,304,62.2,7.9,True,5.1
B+strong_wind,54,51.9,-3.6,149,62.4,8.1,False,11.7
B+day+hitter_park,77,63.6,8.2,288,59.7,5.4,True,2.8
C+strong_wind,167,62.3,6.6,81,58.0,2.6,True,4.0
C+cold+pitcher_park,62,58.1,2.4,60,66.7,11.2,True,8.8
C+ump_under+windy,152,59.9,4.2,116,60.3,4.9,True,0.7
D+cold+pitcher_park,76,55.3,2.3,67,67.2,14.5,True,12.2
D+strong_wind,264,54.9,2.0,147,61.2,8.5,True,6.5
D+pf94,294,52.7,-0.2,317,60.9,8.2,False,8.4
A+night,220,56.8,-3.9,515,59.6,-4.6,True,0.7
A+pf96,19,68.4,7.7,60,53.3,-10.9,False,18.6
C+day+cold,84,45.2,-10.4,95,51.6,-3.9,True,6.5
D+indoor,157,49.7,-3.2,159,50.3,-2.4,True,0.8
