label,N,NRFI_pct,delta_pp,z,ROI_at_m135
pf=96,333,55.6,4.3,1.59,-3.3
pf=94,661,55.4,4.1,2.14,-3.7
wind=strong>15,491,54.2,2.9,1.31,-5.7
pf=105,333,53.8,2.5,0.92,-6.5
pf=107,660,53.5,2.3,1.16,-6.9
pf=101,660,53.0,1.8,0.93,-7.7
ump=under<0.995,2397,52.3,1.1,1.06,-9.0
temp=cool55-65,1369,52.2,0.9,0.68,-9.3
windy>=10,2175,52.1,0.9,0.85,-9.3
pf=106,330,52.1,0.9,0.32,-9.3
day_game,2946,52.0,0.8,0.84,-9.5
pf=100,991,52.1,0.8,0.53,-9.4
park=pitcher<98,2969,52.1,0.8,0.92,-9.4
wind=windy10-15,1632,51.9,0.7,0.54,-9.7
temp=cold<55,645,51.8,0.6,0.28,-9.9
cold<55,635,51.8,0.6,0.29,-9.8
pf=99,657,51.6,0.4,0.19,-10.2
temp=mild65-75,4624,51.5,0.3,0.35,-10.4
wind=calm<5,3967,51.6,0.3,0.43,-10.3
park=neutral98-102,3960,51.3,0.1,0.13,-10.7
outdoor,9573,51.3,0.0,0.05,-10.8
ump=neutral,5315,51.1,-0.2,-0.22,-11.1
night_game,6954,50.9,-0.3,-0.54,-11.4
temp=warm75-85,2459,50.6,-0.6,-0.6,-11.9
pf=95,988,50.6,-0.6,-0.39,-11.9
pf=102,658,50.6,-0.6,-0.32,-11.9
indoor,327,50.5,-0.8,-0.28,-12.2
ump=over>1.005,2188,50.4,-0.8,-0.77,-12.3
wind=mod5-10,3810,50.2,-1.0,-1.26,-12.6
park=hitter>102,2971,50.3,-1.0,-1.07,-12.6
pf=97,987,50.2,-1.1,-0.68,-12.7
pf=98,994,49.8,-1.4,-0.9,-13.4
pf=103,658,49.7,-1.5,-0.79,-13.5
temp=hot>85,803,49.6,-1.7,-0.95,-13.8
pf=104,660,48.5,-2.7,-1.41,-15.6
pf=117,330,43.0,-8.2,-3.01,-25.1
