feature,coefficient,abs_coef
away_bullpen_delta,-0.3523878135287878,0.3523878135287878
temperature,0.3403987070670869,0.3403987070670869
home_sp_xfip,0.31696595742424905,0.31696595742424905
away_bp_delta_exposure,0.2974523927670901,0.2974523927670901
home_bp_delta_exposure,0.2585078601437493,0.2585078601437493
home_bullpen_delta,-0.25709558881715505,0.25709558881715505
park_factor_hr,0.24928823901281297,0.24928823901281297
park_factor_runs,0.24928823901281041,0.24928823901281041
away_sp_k_pct,-0.14709750611699648,0.14709750611699648
away_wrc_plus,0.12490397858504923,0.12490397858504923
flyball_wind_interaction,0.11057485680833873,0.11057485680833873
away_sp_xfip,-0.10753729845619003,0.10753729845619003
away_rest_days,0.09166206716715185,0.09166206716715185
away_high_leverage_avail,-0.08464547802024519,0.08464547802024519
home_sp_bb_pct,-0.07867079665207395,0.07867079665207395
home_sp_k_pct,-0.07413583747570844,0.07413583747570844
home_high_leverage_avail,0.06927464632033094,0.06927464632033094
home_wrc_plus,0.06456966786183835,0.06456966786183835
umpire_over_rate,-0.05539870515449371,0.05539870515449371
doubleheader_flag,-0.045198600621632064,0.045198600621632064
wind_factor_effective,0.03926609706661013,0.03926609706661013
away_sp_bb_pct,0.016973466359101328,0.016973466359101328
home_sp_avg_ip,-0.015032876810002198,0.015032876810002198
away_sp_avg_ip,0.009660307914609114,0.009660307914609114
home_rest_days,0.006596935790359067,0.006596935790359067
